"Name","epoch","valid/accuracy_Atelectasis","valid/accuracy_Calcification of the Aorta","valid/accuracy_Cardiomegaly","valid/accuracy_Consolidation","valid/accuracy_Edema","valid/accuracy_Effusion","valid/accuracy_Emphysema","valid/accuracy_Fibrosis","valid/accuracy_Hernia","valid/accuracy_Infiltration","valid/accuracy_Mass","valid/accuracy_No Finding","valid/accuracy_Nodule","valid/accuracy_Pleural Thickening","valid/accuracy_Pneumomediastinum","valid/accuracy_Pneumonia","valid/accuracy_Pneumoperitoneum","valid/accuracy_Pneumothorax","valid/accuracy_Subcutaneous Emphysema","valid/accuracy_Tortuous Aorta","valid/accuracy_mean","valid/loss","valid/precision_Atelectasis","valid/precision_Calcification of the Aorta","valid/precision_Cardiomegaly","valid/precision_Consolidation","valid/precision_Edema","valid/precision_Effusion","valid/precision_Emphysema","valid/precision_Fibrosis","valid/precision_Hernia","valid/precision_Infiltration","valid/precision_Mass","valid/precision_No Finding","valid/precision_Nodule","valid/precision_Pleural Thickening","valid/precision_Pneumomediastinum","valid/precision_Pneumonia","valid/precision_Pneumoperitoneum","valid/precision_Pneumothorax","valid/precision_Subcutaneous Emphysema","valid/precision_Tortuous Aorta","valid/precision_mean","valid/recall_Atelectasis","valid/recall_Calcification of the Aorta","valid/recall_Cardiomegaly","valid/recall_Consolidation","valid/recall_Edema","valid/recall_Effusion","valid/recall_Emphysema","valid/recall_Fibrosis","valid/recall_Hernia","valid/recall_Infiltration","valid/recall_Mass","valid/recall_No Finding","valid/recall_Nodule","valid/recall_Pleural Thickening","valid/recall_Pneumomediastinum","valid/recall_Pneumonia","valid/recall_Pneumoperitoneum","valid/recall_Pneumothorax","valid/recall_Subcutaneous Emphysema","valid/recall_Tortuous Aorta","valid/recall_mean","variance_factors"
"Trial-053","49","0.8939599394798279","0.9974467158317566","0.974706768989563","0.9565147757530212","0.9791749715805054","0.8748902678489685","0.977898359298706","0.985159158706665","0.9972073435783386","0.8124152421951294","0.9302641153335572","0.6383148431777954","0.936567485332489","0.9574722647666932","0.9982446432113647","0.9861166477203368","0.9972871541976928","0.9397590160369872","0.9798930883407592","0.995132863521576","0.9404212832450868","0.12656763195991516","0.4001552164554596","0","0.26116639375686646","0.19040019810199735","0.2628155052661896","0.4575882852077484","0.18860076367855072","0.05106518790125847","0","0.4135536551475525","0.35950276255607605","0.584801197052002","0.2045258730649948","0.23031151294708252","0","0","0","0.2770497500896454","0.12732253968715668","0.047660838812589645","0.20282600820064545","0.3063581883907318","0","0.13293810188770294","0.03257570043206215","0.0877288356423378","0.5527318120002747","0.058469824492931366","0.012936513870954514","0","0.505541205406189","0.19859114289283752","0.8207415342330933","0.12639875710010529","0.06028112769126892","0","0","0","0.11348026245832445","0.04985899105668068","0.017021730542182922","0.1537827104330063","[1.9859041730203193,1.4037553860421284]"
"Trial-052","49","0.8934014439582825","0.9974467158317566","0.9747865796089172","0.9558764696121216","0.9785366654396056","0.8793584704399109","0.9779781103134156","0.9846804141998292","0.9972871541976928","0.8148887157440186","0.9248384237289428","0.6411074995994568","0.9376845359802246","0.9581105709075928","0.9981648325920104","0.9861964583396912","0.9972871541976928","0.9402377605438232","0.9794941544532776","0.995372235774994","0.9406366944313048","0.12547530233860016","0.40197643637657166","0","0.32599517703056335","0.2069355994462967","0.20704613626003265","0.4761243462562561","0.1997864693403244","0.09532169252634048","0.020426075905561447","0.419930100440979","0.31362950801849365","0.585844099521637","0.2730357348918915","0.2388581782579422","0","0","0","0.31158849596977234","0.19473667442798617","0.05787388235330582","0.21645547449588776","0.3187434673309326","0","0.21409697830677032","0.03726387768983841","0.05702165886759758","0.5614280104637146","0.07164011895656586","0.03744780644774437","0.010213037952780724","0.4884392619132995","0.22788679599761963","0.8181732892990112","0.14039097726345062","0.05744728818535805","0","0","0","0.11022921651601791","0.0990680530667305","0.040852151811122894","0.1645171046257019","[0.8367111233923136,1.531731322092332]"
"Trial-051","49","0.8906885981559753","0.9972871541976928","0.971993923187256","0.9539615511894226","0.978377103805542","0.8504747748374939","0.9775791764259338","0.9845208525657654","0.9972871541976928","0.8114577531814575","0.9135083556175232","0.6712678670883179","0.9386419653892516","0.9543604850769044","0.9982446432113647","0.9861964583396912","0.9973669648170472","0.9412750601768494","0.9818080067634584","0.994893491268158","0.9395596385002136","0.12750987708568573","0.3878485858440399","0","0.2820865511894226","0.2965133786201477","0.17763389647006989","0.4046950936317444","0.14847736060619354","0.040852151811122894","0.020426075905561447","0.4073917269706726","0.2482328861951828","0.6101417541503906","0.2971920073032379","0.2128024846315384","0","0","0","0.3511183261871338","0.16535280644893646","0","0.20253825187683103","0.31523555517196655","0","0.15929821133613586","0.07790999859571457","0.053246840834617615","0.665240466594696","0.07064134627580643","0.007878629490733147","0.010213037952780724","0.4803248345851898","0.24836024641990664","0.757074236869812","0.1474265158176422","0.08740998059511185","0","0","0","0.10734469443559648","0.05907953158020973","0","0.16233418881893158","[1.7026624246216238,1.877223204370709]"
"Trial-050","49","0.8963536024093628","0.9973669648170472","0.9731907844543456","0.9538817405700684","0.978377103805542","0.8560600280761719","0.9767014980316162","0.983722984790802","0.9971275925636292","0.8141705989837646","0.922923505306244","0.6704699397087097","0.9352110624313354","0.9551583528518676","0.9981648325920104","0.9861166477203368","0.9972871541976928","0.9405569434165956","0.9813292622566224","0.9955317974090576","0.9404850602149964","0.12654122710227966","0.4254544973373413","0","0.2654903531074524","0.3074897527694702","0.20912408828735352","0.4150612950325012","0.11268385499715804","0.05174606293439865","0","0.4164882898330689","0.2909431755542755","0.6073782444000244","0.2816716730594635","0.2102382332086563","0","0","0","0.2797864079475403","0.09464081376791","0.040852151811122894","0.20045246183872223","0.293489009141922","0","0.1197286993265152","0.08219476044178009","0.07016061246395111","0.6597188711166382","0.06869981437921524","0.03034731186926365","0","0.48234084248542786","0.25545305013656616","0.779940128326416","0.1630304753780365","0.06750081479549408","0","0","0","0.09259647130966188","0.045351263135671616","0.017021730542182922","0.1613786816596985","[1.1332664689631553,0.5660235788718269]"
"Trial-049","49","0.8911673426628113","0.9974467158317566","0.9740684628486632","0.9546796679496764","0.9782972931861876","0.8539854884147644","0.9763025641441344","0.9835633635520936","0.9972073435783386","0.8111385703086853","0.9182159304618835","0.6713476181030273","0.9374451637268066","0.9522859454154968","0.9979254603385924","0.9861964583396912","0.9973669648170472","0.9406366944313048","0.9806909561157228","0.9958509802818298","0.9397909641265868","0.12708987295627594","0.39650920033454895","0","0.27218353748321533","0.310866117477417","0.1713520884513855","0.4087803065776825","0.1661214381456375","0.040852151811122894","0","0.40984445810317993","0.2849496901035309","0.609653115272522","0.27894872426986694","0.19398193061351776","0","0","0","0.31566181778907776","0.15708549320697784","0.040852151811122894","0.2028820812702179","0.31235501170158386","0","0.1230369508266449","0.07838013023138046","0.06699258089065552","0.6410083770751953","0.0691332295536995","0.007878629490733147","0","0.4979148805141449","0.2843847870826721","0.7637733817100525","0.13881367444992063","0.1017557680606842","0","0","0","0.09613833576440813","0.0794781744480133","0.013617384247481825","0.1637330800294876","[1.7186251275243445,1.8493968005289976]"
"Trial-048","49","0.8922045826911926","0.9974467158317566","0.972552478313446","0.9545998573303224","0.97861647605896","0.8551822900772095","0.9763823747634888","0.9830846786499025","0.9972871541976928","0.8159259557723999","0.9201308488845824","0.670549750328064","0.9378440976142884","0.9551583528518676","0.9981648325920104","0.9861964583396912","0.9972871541976928","0.9393600821495056","0.9806909561157228","0.995611608028412","0.9402137994766236","0.12700383365154266","0.3955668807029724","0","0.3175375759601593","0.31499114632606506","0.20795689523220065","0.41293150186538696","0.15240275859832764","0.0068086921237409115","0.020426075905561447","0.4178250730037689","0.2788596451282501","0.6087758541107178","0.30095812678337097","0.2133439928293228","0","0","0","0.3060174584388733","0.1352498084306717","0.05106518790125847","0.20703576505184176","0.31917470693588257","0","0.15807479619979858","0.08383546769618988","0.05613581463694573","0.6420525312423706","0.0743800550699234","0.002918010810390115","0.010213037952780724","0.4907458424568176","0.2497766762971878","0.7727637887001038","0.15453894436359406","0.07949331402778625","0","0","0","0.10871104151010512","0.07538297027349472","0.020426075905561447","0.16493116319179535","[1.2031911639001447,1.4301912467823543]"
"Trial-047","49","0.9010611772537231","0.9973669648170472","0.971993923187256","0.9558764696121216","0.977658987045288","0.8573366403579712","0.977898359298706","0.9840421080589294","0.9972073435783386","0.8092236518859863","0.928987443447113","0.6463735699653625","0.9412750601768494","0.9580308198928832","0.9982446432113647","0.9861964583396912","0.9972871541976928","0.9396792650222778","0.9809303283691406","0.9958509802818298","0.9401260614395142","0.1257907748222351","0.4438993036746979","0","0.3129059672355652","0.2690567970275879","0.1923455446958542","0.4224833250045776","0.20377442240715027","0","0","0.4082072973251343","0.31932342052459717","0.5898723006248474","0.3029852509498596","0.21847769618034363","0","0","0","0.26798802614212036","0.1922644674777985","0","0.20717915892601013","0.23654000461101532","0","0.17634619772434235","0.051405169069767","0.05298662558197975","0.6271775364875793","0.07247443497180939","0","0","0.5072125792503357","0.23118197917938232","0.7979263067245483","0.11535568535327911","0.0754469558596611","0","0","0","0.12133630365133286","0.07311897724866867","0","0.15692543983459473","[0.4970026700824888,1.1253933006560193]"
"Trial-046","49","0.9008218050003052","0.9975265264511108","0.9711162447929382","0.9559562802314758","0.9777387976646424","0.8493577241897583","0.9786962270736694","0.9847602248191832","0.9972073435783386","0.8014841079711914","0.9313013553619384","0.643580973148346","0.9408760666847228","0.960344672203064","0.9982446432113647","0.9861964583396912","0.9972871541976928","0.9390409588813782","0.982685685157776","0.9960105419158936","0.9395117163658142","0.12737713754177094","0.45255452394485474","0.020426075905561447","0.23915643990039823","0.2583249807357788","0.21521656215190887","0.4065666198730469","0.12255644798278809","0","0","0.3907378613948822","0.31612616777420044","0.5882910490036011","0.3287067413330078","0.17999149858951569","0","0","0","0.31150564551353455","0.1307268887758255","0","0.1980444043874741","0.21281282603740692","0.005106518976390362","0.12739042937755585","0.05756300315260887","0.05330757796764374","0.6787298917770386","0.031155845150351524","0","0","0.509738028049469","0.1749829649925232","0.8048655390739441","0.110590398311615","0.02182512544095516","0","0","0","0.08505182713270187","0.028163086622953415","0","0.14506414532661438","[1.9466224510072043,0.13909482497098763]"
"Trial-045","49","0.9008218050003052","0.9974467158317566","0.9722332954406738","0.9563552141189576","0.977898359298706","0.8608473539352417","0.9772600531578064","0.9845208525657654","0.9972871541976928","0.8089044690132141","0.9291470646858216","0.6439000964164734","0.9418335556983948","0.9589084982872008","0.9982446432113647","0.9861964583396912","0.9972871541976928","0.9411154389381408","0.9814888834953308","0.996090292930603","0.9403894543647766","0.12597806751728058","0.4623172879219055","0","0.30759119987487793","0.32924890518188477","0.22230377793312073","0.4217354357242584","0.14108353853225708","0","0.020426075905561447","0.40126892924308777","0.30447205901145935","0.5879120230674744","0.35014137625694275","0.2508510649204254","0","0","0","0.33513638377189636","0.13299645483493805","0.020426075905561447","0.21439555287361145","0.2500610947608948","0","0.18856976926326752","0.05875558778643608","0.06421799212694168","0.6294749975204468","0.02970593422651291","0","0.010213037952780724","0.500978410243988","0.22166743874549863","0.8019666075706482","0.12974363565444946","0.07087183743715286","0","0","0","0.11192148178815842","0.04070700705051422","0.0034043460618704557","0.15561296045780182","[0.9139124948768528,1.8095964456423193]"
"Trial-044","49","0.8980292081832886","0.9974467158317566","0.972552478313446","0.955557346343994","0.9769408702850342","0.8579749464988708","0.9780579209327698","0.9846804141998292","0.9972073435783386","0.8030000925064087","0.9302641153335572","0.6438202857971191","0.9395196437835692","0.9592276215553284","0.9982446432113647","0.9861964583396912","0.9973669648170472","0.9381632208824158","0.9820473790168762","0.9960105419158936","0.9396153688430786","0.12630213797092438","0.4192265570163727","0","0.23159277439117432","0.21491147577762604","0.20706160366535187","0.41505277156829834","0.21700045466423035","0","0","0.3964191973209381","0.3138212263584137","0.5884073376655579","0.2944319248199463","0.21807152032852173","0","0","0","0.2691119909286499","0.20187771320343015","0.020426075905561447","0.200370654463768","0.251462459564209","0","0.11522162705659866","0.03972410038113594","0.0680958703160286","0.621523380279541","0.0675232782959938","0","0","0.5169106125831604","0.21189263463020325","0.7934365272521973","0.13443835079669952","0.056096598505973816","0","0","0","0.11060080677270888","0.05363224819302559","0.0034043460618704557","0.15219813585281372","[1.7017907533770948,0.35356608954132906]"
